"ZIP","COUNTYNAME","STATE","county_name_norm","dem_votes","rep_votes","dem_pct","rep_pct","dem_lead"
"01001","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01002","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01002","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01003","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01005","Worcester County","MA","worcestercounty, MA",198778,157682,0.557644616506761,0.442355383493239,0.115289233013522
"01007","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01008","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01008","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01009","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01010","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01010","Worcester County","MA","worcestercounty, MA",198778,157682,0.557644616506761,0.442355383493239,0.115289233013522
"01011","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01011","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01011","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01012","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01013","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01020","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01022","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01026","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01026","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01027","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01028","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01029","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01030","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01031","Worcester County","MA","worcestercounty, MA",198778,157682,0.557644616506761,0.442355383493239,0.115289233013522
"01032","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01033","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01033","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01034","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01035","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01036","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01037","Worcester County","MA","worcestercounty, MA",198778,157682,0.557644616506761,0.442355383493239,0.115289233013522
"01038","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01039","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01039","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01040","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01050","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01050","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01053","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01054","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01056","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01057","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01060","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01062","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01063","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01066","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01068","Worcester County","MA","worcestercounty, MA",198778,157682,0.557644616506761,0.442355383493239,0.115289233013522
"01069","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01069","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01070","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01070","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01070","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01071","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01072","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01073","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01073","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01074","Worcester County","MA","worcestercounty, MA",198778,157682,0.557644616506761,0.442355383493239,0.115289233013522
"01075","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01077","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01079","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01080","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01081","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01082","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01082","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01082","Worcester County","MA","worcestercounty, MA",198778,157682,0.557644616506761,0.442355383493239,0.115289233013522
"01083","Worcester County","MA","worcestercounty, MA",198778,157682,0.557644616506761,0.442355383493239,0.115289233013522
"01084","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01085","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01088","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01089","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01092","Worcester County","MA","worcestercounty, MA",198778,157682,0.557644616506761,0.442355383493239,0.115289233013522
"01093","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01094","Worcester County","MA","worcestercounty, MA",198778,157682,0.557644616506761,0.442355383493239,0.115289233013522
"01095","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01096","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01096","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01098","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01103","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01104","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01105","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01106","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01107","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01108","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01109","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01118","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01119","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01128","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01129","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01144","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01151","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01201","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01220","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01222","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01223","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01223","Hampden County","MA","hampdencounty, MA",112590,78685,0.588628937393805,0.411371062606195,0.177257874787609
"01224","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01225","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01226","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01229","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01230","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01235","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01235","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01236","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01237","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01238","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01240","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01242","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01243","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01244","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01245","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01247","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01247","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01253","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01254","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01255","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01256","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01257","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01258","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01259","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01260","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01262","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01264","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01266","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01267","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01270","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01301","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01330","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01330","Hampshire County","MA","hampshirecounty, MA",55367,21790,0.717588812421426,0.282411187578574,0.435177624842853
"01331","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01331","Worcester County","MA","worcestercounty, MA",198778,157682,0.557644616506761,0.442355383493239,0.115289233013522
"01337","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01338","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01339","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01340","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01341","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01342","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01343","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01343","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01344","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01346","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01347","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01349","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01350","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01351","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01354","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01355","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01360","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01364","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01364","Worcester County","MA","worcestercounty, MA",198778,157682,0.557644616506761,0.442355383493239,0.115289233013522
"01366","Worcester County","MA","worcestercounty, MA",198778,157682,0.557644616506761,0.442355383493239,0.115289233013522
"01367","Berkshire County","MA","berkshirecounty, MA",43714,16839,0.721913034862022,0.278086965137978,0.443826069724043
"01367","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01368","Worcester County","MA","worcestercounty, MA",198778,157682,0.557644616506761,0.442355383493239,0.115289233013522
"01370","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01373","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01375","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01376","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01378","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01379","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01380","Franklin County","MA","franklincounty, MA",24478,10364,0.702542907984616,0.297457092015384,0.405085815969233
"01420","Worcester County","MA","worcestercounty, MA",198778,157682,0.557644616506761,0.442355383493239,0.115289233013522
"01430","Worcester County","MA","worcestercounty, MA",198778,157682,0.557644616506761,0.442355383493239,0.115289233013522
"01431","Middlesex County","MA","middlesexcounty, MA",520360,219793,0.703043830127014,0.296956169872986,0.406087660254029
"01431","Worcester County","MA","worcestercounty, MA",198778,157682,0.557644616506761,0.442355383493239,0.115289233013522
"01432","Middlesex County","MA","middlesexcounty, MA",520360,219793,0.703043830127014,0.296956169872986,0.406087660254029
"01434","Middlesex County","MA","middlesexcounty, MA",520360,219793,0.703043830127014,0.296956169872986,0.406087660254029
"01434","Worcester County","MA","worcestercounty, MA",198778,157682,0.557644616506761,0.442355383493239,0.115289233013522
